ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq1243,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.89,1.00,1.00,1.00,1.00,1.00,1.25,1.00,1.00,0.00,1.00, 
seq1244,1.11,1.00,1.00,1.00,1.00,1.44,1.00,1.00,1.14,1.15,1.00,1.00,1.00,1.00,1.20,1.33,1.00,1.00,0.00,1.00, 
seq1245,1.00,0.00,1.00,0.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq1246,1.29,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.20,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00, 
seq1247,1.00,1.25,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq1248,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq1249,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,0.00, 
seq1250,1.00,1.00,1.00,1.00,1.00,1.33,0.00,1.00,1.33,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00, 
seq1251,0.00,1.00,0.00,0.00,1.67,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq1252,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.40,0.00,0.00,0.00,1.40,1.00,0.00,1.00,1.00,0.00,1.00,1.00, 
seq1253,1.00,0.00,0.00,0.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00, 
seq1254,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.67,1.00,1.67,1.00,1.00, 
seq1255,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq1256,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.50,1.00,2.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq1257,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.33,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.40, 
seq1258,1.69,0.00,1.00,1.20,1.00,1.11,1.00,1.00,1.12,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.27,0.00,1.00, 
seq1259,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,1.00,1.00,0.00,0.00,1.00,1.00, 
seq1260,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.50,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq1261,1.57,1.00,1.32,1.00,1.00,1.00,1.00,1.00,1.36,1.32,1.00,1.57,1.33,1.33,1.20,1.00,1.40,1.00,1.00,0.00, 
seq1262,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,1.40,0.00, 
seq1263,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,1.40,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00, 
seq1264,1.33,0.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.67,1.67,0.00,1.00,1.00,1.29,1.00,0.00,1.00, 
seq1265,1.29,0.00,1.00,1.33,1.00,1.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00,1.40,1.00,1.00,1.29,0.00,1.00,1.00, 
seq1266,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.50,1.29,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq1267,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.40,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.50,0.00,0.00, 
seq1268,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,2.11,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00, 
seq1269,1.00,0.00,0.00,1.67,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq1270,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq1271,0.00,1.00,1.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.57,1.00,1.00,1.00,1.00,0.00,0.00, 
seq1272,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.57,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq1273,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.33,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq1274,1.29,1.00,1.00,1.20,1.00,1.00,1.00,1.29,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.21,1.00,1.15,1.00,1.00, 
seq1275,1.80,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50, 
seq1276,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.22,1.00,1.00,1.00,1.00,1.00,0.00,1.29,1.00,1.00,0.00,0.00, 
seq1277,1.40,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.83,0.00,0.00,1.00,1.00,1.00,1.00,1.50,1.67,1.00,0.00,0.00, 
seq1278,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.55,1.00,0.00,0.00,1.50,0.00,1.60,1.00,0.00,1.00,0.00,0.00, 
seq1279,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.40,1.40,0.00,1.00,1.00,0.00,1.67,0.00,1.00,1.00,1.00,0.00, 
seq1280,1.50,0.00,0.00,0.00,0.00,1.40,1.00,1.00,1.00,1.33,0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq1281,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.89,1.40,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.33,0.00,0.00, 
seq1282,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1283,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.91,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq1284,1.33,1.00,1.00,0.00,1.00,1.33,1.00,1.00,1.00,1.50,1.00,1.00,1.00,0.00,1.57,1.00,1.00,1.00,1.00,0.00, 
seq1285,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq1286,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq1287,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,3.00,0.00,1.00,1.00,0.00,1.00, 
seq1288,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,3.10,1.00,1.00,0.00,1.00,1.00, 
seq1289,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.25,1.00,1.22,1.00,1.00,0.00,1.00,0.00, 
seq1290,0.00,0.00,1.00,0.00,0.00,5.48,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.00,0.00, 
seq1291,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.50, 
seq1292,0.00,1.00,1.00,0.00,1.00,1.40,1.00,1.00,1.00,1.00,0.00,1.00,1.43,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1293,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.00,1.00,0.00,1.00,1.15,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq1294,1.89,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00, 
seq1295,1.40,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.67,1.00,0.00, 
seq1296,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.50,1.00,0.00,1.00,1.00,0.00,1.50,1.00,1.00,1.50,1.00,0.00, 
seq1297,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.29,0.00,1.00,0.00,1.00,0.00, 
seq1298,0.00,0.00,0.00,0.00,1.50,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1299,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq1300,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,2.33,0.00,1.00,1.00,0.00, 
seq1301,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.80,1.00,1.00,1.00,1.00,0.00, 
seq1302,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00, 
seq1303,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.33,0.00,1.00,1.00,1.40,1.00, 
seq1304,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq1305,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq1306,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.57,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.40,1.00,0.00,0.00, 
seq1307,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq1308,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.33,1.00,1.00,0.00,0.00,0.00, 
seq1309,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.67,1.00,1.00,0.00,0.00,0.00,1.00,1.50,1.00,0.00,1.00,0.00, 
seq1310,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.40,0.00,0.00,0.00,0.00,1.50,1.00,0.00,1.00,0.00,0.00, 
seq1311,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.67,0.00,1.67,0.00,1.00,0.00, 
seq1312,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.14,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq1313,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.40,1.00,1.00,1.00,1.00,1.00, 
seq1314,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.29,1.40,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq1315,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.40,1.40,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq1316,1.86,0.00,1.00,0.00,1.00,1.25,1.00,1.00,1.00,1.20,0.00,0.00,1.00,1.00,0.00,1.40,1.29,1.00,1.00,0.00, 
seq1317,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.25,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1318,1.00,1.22,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.67,1.50,1.22,0.00,0.00,1.00,1.00, 
seq1319,1.33,1.22,1.00,0.00,0.00,2.14,0.00,1.00,1.00,1.00,0.00,1.00,1.55,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1320,1.00,1.22,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,0.00,1.67, 
seq1321,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.62,0.00,1.33,0.00,0.00,0.00,0.00,1.00, 
seq1322,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.46,0.00,1.29,1.00,0.00,0.00,1.00,0.00, 
seq1323,0.00,0.00,0.00,0.00,1.29,1.50,0.00,1.00,1.57,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq1324,1.00,0.00,0.00,0.00,1.40,2.14,1.00,1.00,1.33,1.00,1.00,1.00,0.00,0.00,1.40,1.67,0.00,0.00,0.00,0.00, 
seq1325,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.36,1.00,1.00,1.00,1.00,1.00, 
seq1326,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.67,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq1327,1.00,0.00,0.00,0.00,1.57,1.00,1.00,1.67,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.00,1.00,0.00,0.00,0.00, 
seq1328,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.20,1.00,0.00,1.25,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq1329,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1330,0.00,0.00,1.00,0.00,0.00,2.33,0.00,0.00,1.67,1.00,1.00,1.00,0.00,1.00,1.91,0.00,1.00,1.00,1.00,0.00, 
seq1331,1.73,0.00,1.00,2.14,1.00,1.00,0.00,1.00,1.25,1.33,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq1332,1.00,0.00,0.00,1.00,1.67,1.00,0.00,1.00,1.40,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00, 
seq1333,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.67,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00, 
seq1334,1.00,1.00,1.00,0.00,0.00,1.67,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00, 
seq1335,1.00,0.00,0.00,0.00,1.50,1.00,0.00,1.00,1.22,1.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,0.00,1.00, 
seq1336,1.00,0.00,0.00,0.00,2.14,1.00,1.00,1.50,1.00,1.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00, 
seq1337,1.00,0.00,0.00,1.40,1.00,1.00,0.00,1.00,1.29,1.00,0.00,0.00,1.00,1.00,1.33,1.00,1.00,1.44,1.00,0.00, 
seq1338,1.00,0.00,1.00,1.25,1.00,1.00,1.00,1.00,1.31,1.00,0.00,0.00,1.00,1.00,1.33,1.00,1.00,1.36,1.00,0.00, 
seq1339,1.44,0.00,0.00,0.00,1.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq1340,1.00,1.25,1.00,1.67,1.00,1.00,1.00,1.00,1.77,1.00,1.29,1.00,1.00,1.00,1.40,1.33,1.70,1.00,1.00,1.00, 
seq1341,1.00,1.00,1.00,1.00,0.00,1.29,1.00,1.00,1.25,1.00,0.00,1.40,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.50, 
seq1342,1.17,0.00,1.17,1.00,1.25,1.51,1.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.17,1.00,1.00,1.20,1.00,1.00, 
seq1343,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.15,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1344,1.00,1.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1345,0.00,0.00,0.00,0.00,1.40,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq1346,0.00,1.44,1.00,1.40,1.00,1.00,1.00,0.00,1.91,1.00,1.00,0.00,0.00,1.00,1.00,1.40,1.00,0.00,0.00,0.00, 
seq1347,0.00,1.40,1.00,1.00,1.00,1.50,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00, 
seq1348,1.33,1.25,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1349,0.00,1.00,1.00,0.00,1.00,1.50,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00, 
seq1350,1.00,1.29,1.00,1.00,1.00,1.00,1.25,1.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1351,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.40,0.00,0.00,1.00,1.00,1.00, 
seq1352,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.50,1.00,1.00,1.00,1.00, 
seq1353,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq1354,1.67,1.00,1.00,1.00,1.00,1.38,0.00,1.00,1.18,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq1355,1.00,1.00,1.00,1.00,1.00,2.57,1.00,1.00,1.00,1.18,1.00,1.00,1.00,1.00,1.22,1.20,1.00,1.00,1.00,1.00, 
seq1356,1.22,0.00,1.18,1.40,1.00,1.14,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.27,1.25,1.22,1.00,1.18, 
seq1357,1.00,0.00,0.00,0.00,1.00,1.50,0.00,1.00,0.00,1.40,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq1358,1.50,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,2.14,0.00,0.00,1.00,1.00,0.00,1.33,0.00,1.00,1.00,0.00, 
seq1359,1.33,1.00,1.00,0.00,1.00,1.33,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,0.00,1.00, 
seq1360,0.00,1.00,1.00,0.00,1.33,1.00,1.40,1.00,1.31,1.00,1.00,1.00,1.50,1.40,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1361,1.22,1.40,1.00,1.00,1.33,1.00,0.00,1.00,1.22,1.15,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1362,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.67, 
seq1363,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.40,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq1364,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.40,1.00,1.00,0.00,1.00,0.00,1.00,1.36,1.00,1.00,0.00,1.00,0.00, 
seq1365,1.40,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq1366,1.00,0.00,1.00,0.00,0.00,1.60,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.76,1.00,0.00,1.00,0.00,0.00, 
seq1367,1.00,1.00,1.00,1.00,1.67,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.40,1.00,1.00,0.00,1.00, 
seq1368,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq1369,1.00,1.40,1.00,1.00,0.00,1.00,1.00,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.20,1.00,1.00,1.22,0.00,1.00, 
seq1370,0.00,0.00,0.00,1.00,1.00,1.83,0.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00, 
seq1371,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.40,1.50,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq1372,0.00,0.00,1.00,1.00,1.00,1.29,1.00,1.00,0.00,1.00,0.00,1.00,1.22,1.00,1.22,1.00,1.00,0.00,1.00,0.00, 
seq1373,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.50,1.00,0.00,0.00,1.00,1.20,1.00,1.33,1.00,1.00,1.00,1.00,0.00, 
seq1374,1.00,0.00,0.00,1.00,1.00,1.62,1.00,1.50,1.00,1.00,0.00,1.25,1.00,1.00,0.00,1.00,1.50,1.00,1.00,1.00, 
seq1375,1.40,1.00,1.00,0.00,0.00,1.40,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00, 
seq1376,1.00,0.00,0.00,0.00,1.00,1.40,1.00,1.00,1.50,1.33,1.00,0.00,1.00,1.00,1.44,1.00,0.00,0.00,0.00,0.00, 
seq1377,0.00,0.00,0.00,0.00,1.40,1.40,1.00,1.00,1.50,1.00,1.00,0.00,0.00,1.00,1.18,1.00,1.00,1.00,0.00,0.00, 
seq1378,1.50,0.00,1.00,1.00,1.50,1.00,1.00,1.50,1.00,1.00,0.00,0.00,0.00,0.00,1.22,1.00,2.00,1.00,1.00,0.00, 
seq1379,1.00,0.00,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq1380,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq1381,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.33,0.00,1.00,1.00,1.00,1.40,0.00,1.00, 
seq1382,1.00,1.18,1.00,1.00,1.00,1.00,0.00,1.40,1.00,1.44,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.00,1.00,1.00, 
seq1383,1.00,1.17,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.22,1.00,1.00,0.00, 
seq1384,1.18,1.00,1.00,1.00,1.18,1.00,1.00,1.00,1.52,1.53,1.00,1.00,1.00,1.00,1.00,1.32,1.00,1.00,1.00,1.00, 
seq1385,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq1386,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.67,1.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,1.00,1.00,0.00, 
seq1387,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq1388,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.50,1.00,1.00,0.00,0.00,0.00,1.50,1.00,0.00,1.00,0.00,0.00, 
seq1389,0.00,1.00,1.29,1.00,1.00,1.25,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.22,1.00, 
seq1390,1.00,1.00,1.12,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.33,1.00,1.00,1.00, 
seq1391,0.00,1.29,0.00,1.00,0.00,1.40,0.00,1.00,1.55,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00, 
seq1392,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.40,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq1393,1.00,1.29,1.00,1.40,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.67,1.00,0.00,1.00, 
seq1394,1.20,1.00,1.17,1.29,1.00,1.57,1.00,1.00,1.22,1.27,1.00,1.00,1.00,1.00,1.00,1.00,1.25,1.27,1.00,1.00, 
seq1395,1.00,1.53,1.18,1.00,1.00,1.65,1.00,1.00,1.00,1.00,0.00,1.00,1.27,1.00,1.00,1.00,1.18,1.25,0.00,1.00, 
seq1396,1.00,1.29,1.00,1.00,1.00,1.29,1.00,1.00,1.00,1.00,0.00,1.00,1.13,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq1397,1.00,1.29,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.20,1.00,1.40,1.00,1.00,1.00,0.00,1.00, 
seq1398,1.00,1.29,1.00,1.50,1.00,1.59,1.00,1.00,1.00,1.00,0.00,1.33,1.31,1.00,1.00,1.29,1.50,1.22,1.00,1.00, 
seq1399,1.00,1.00,1.00,1.00,1.00,1.33,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.80,1.00,0.00,0.00,1.00,1.00, 
seq1400,1.00,0.00,0.00,0.00,1.00,1.00,1.33,1.40,1.00,0.00,0.00,1.00,0.00,0.00,2.33,1.00,0.00,0.00,0.00,0.00, 
seq1401,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.00,1.00,1.00,0.00,1.40,1.00,1.00,1.00,1.00,1.00, 
